SystemID,Send Date,Content Name,Testing,Source,Card ID,Tier,Status,EDM_Sent,EDM_Bounce,EDM_Open,EDM_Click,APP_Open
JH-0001830496,2021-11-15T02:05:23.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,SB0059501,EMER,Sent,1,0,0,0,0
JH-0001830497,2021-11-15T02:05:23.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WB6153175,DYNA,Open,1,0,1,0,0
JH-0001830498,2021-11-15T02:05:23.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WA1007561,GOLD,Open,1,0,1,0,0
JH-0001830587,2021-11-15T07:40:41.000Z,[TRN]TravelReminder_EN - 20211026,,EDM,CK4049010,DYNA,Open,1,0,1,0,0
JH-0001830588,2021-11-15T07:40:41.000Z,[TRN]TravelReminder_EN - 20211026,,EDM,WA0713790,GOLD,Open,1,0,1,0,0
JH-0001830589,2021-11-15T07:40:41.000Z,[TRN]TravelReminder_EN - 20211026,,EDM,WB9824692,DYNA,Sent,1,0,0,0,0
JH-0001830720,2021-11-16T13:10:59.000Z,ANC Chargeable Seat SMS A(ZH),A,SMS,CT2178191,DYNA,Delivered,0,0,0,0,0
JH-0001830791,2021-11-16T15:55:31.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WD8816736,DYNA,Open,1,0,1,0,0
JH-0001830792,2021-11-16T15:55:31.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,AS0334888,DYNA,Sent,1,0,0,0,0
JH-0001830793,2021-11-16T15:55:31.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WD3617504,DYNA,Sent,1,0,0,0,0
JH-0001830794,2021-11-16T15:55:31.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WF2855970,DYNA,Click,1,0,1,1,0
JH-0001830795,2021-11-16T15:55:31.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WB5216624,DYNA,Sent,1,0,0,0,0
JH-0001830796,2021-11-16T15:55:31.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CT5529778,GOLD,Open,1,0,1,0,0
JH-0001830797,2021-11-16T15:55:31.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,CT0645107,DYNA,Sent,1,0,0,0,0
JH-0001830798,2021-11-16T15:55:31.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WD8343090,DYNA,Open,1,0,1,0,0
JH-0001830799,2021-11-16T15:55:31.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WB7983281,DYNA,Open,1,0,1,0,0
JH-0001830486,2021-11-15T02:05:22.000Z,[TRN]TravelReminder_EN - 20211026,,EDM,WB6057472,EMER,Open,1,0,1,0,0
JH-0001830680,2021-11-16T02:45:33.000Z,[TRN]TravelReminder_ZH - 20211026,,EDM,WB5096597,DYNA,Sent,1,0,0,0,0
